,items,total_sale,Categories
84,NIRVANA HOOKAH SINGLE         ,243843.60000000006,TOBACCO
80,SAMBUCA                       ,228690.0,TOBACCO
81,CALCUTTA MINT                 ,188496.0,TOBACCO
76,MINT FLAVOUR SINGLE           ,141669.0,TOBACCO
78,N R G  HOOKAH                 ,105930.0,TOBACCO
54,JR.CHL AVALANCHE              ,79796.93,FOOD
25,GREAT LAKES SHAKE                   ,73076.25000000003,FOOD
86,GREEN APPLE FLAVOUR SINGLE    ,61182.0,TOBACCO
83,SILVER APPLE SINGLE           ,55624.80000000002,TOBACCO
7,CAPPUCCINO                    ,52243.02,BEVERAGE
24,POUTINE WITH FRIES            ,47065.32000000001,FOOD
74,CARLSBERG                     ,41895.0,LIQUOR
50,KIT KAT SHAKE                 ,36245.770000000004,FOOD
70,KF DRAUGHT (1LTR)             ,34335.0,LIQUOR
27,B.M.T. PANINI                 ,33784.35,FOOD
87,RED WINE SHEESHA              ,33660.0,TOBACCO
79,THE  CHAMPAGNE SHEESHA        ,32670.0,TOBACCO
11,RED BULL ENERGY DRINK         ,28617.590000000004,BEVERAGE
72,KF DRAUGHT (1/2LTR)           ,27890.540000000008,LIQUOR
40,PHILLYCREAM CHEESE &CHILLY PAN,25728.100000000006,FOOD
36,SR.CHL AVALANCHE              ,24605.4,FOOD
1,CAFFE LATTE                   ,24293.090000000004,BEVERAGE
73,TUBORG                        ,22968.75,LIQUOR
31,TOBLERONE SHAKE               ,22386.090000000007,FOOD
56,THE FERROR ROCHER SHAKE       ,21006.400000000005,FOOD
62,COUNTRY ROAST CHICKEN PANINI  ,20492.739999999998,FOOD
111,MAGGI NDLCREAM/ CHEE/GARLIC   ,20295.33,FOOD
4,BERRY BLAST                   ,20220.469999999994,BEVERAGE
3,LEMON ICED TEA                ,20091.200000000004,BEVERAGE
89,MISCHIEF HOOKAH SINGLE        ,19404.000000000007,TOBACCO
37,COTTAGE CHEESE PANINI         ,19361.060000000005,FOOD
41,LAVA LAVA                     ,18934.25000000001,FOOD
116,KF DRAUGHT PITCHER (2LTR)     ,18309.500000000004,LIQUOR
119,BLUE BERRY SINGLE             ,17787.000000000007,TOBACCO
8,QUA  MINERAL WATER(1000ML)    ,17573.810000000005,BEVERAGE
272,RED BULL 2+1                  ,17325.260000000002,BEVERAGE
0,MASALA CHAI CUTTING           ,16824.3,BEVERAGE
28,LINDT CHOCOLATE SHAKE         ,16731.0,FOOD
49,GARDEN FRESH PANINI           ,16502.370000000003,FOOD
14,ULTIMATE HOT CHOCOLATE        ,16340.979999999994,BEVERAGE
55,MAGGI NDL ARRABIATA           ,16295.420000000004,FOOD
5,COUNTRY LEMONADE              ,15883.680000000004,BEVERAGE
29,DUTCH TRUFFLE CAKE SHAKE      ,14861.959999999995,FOOD
44,SATAY CHICKEN PANINI          ,14658.019999999997,FOOD
20,THE CHOCO LATTE               ,14577.559999999994,BEVERAGE
255,ORANGE ARRABIATA              ,14571.889999999996,FOOD
48,NON-VEG CLUB WRAP             ,12870.0,FOOD
179,BLUEBERRY BRAIN FREEZER SHAKE ,12821.75,BEVERAGE
120,RABAT HOOKAH SINGLE           ,12460.8,TOBACCO
15,PINK LEMONADE                 ,12412.420000000006,BEVERAGE
200,CHEESE FONDUE                 ,12251.399999999994,FOOD
299,THE AFTER EIGHT SHAKE         ,12251.25,BEVERAGE
10,MOROCCAN MINT TEA             ,11694.880000000001,BEVERAGE
61,VEG. CLUB WRAP                ,11316.81,FOOD
6,MIAMI MELONS                  ,10939.740000000005,BEVERAGE
82,AL SIKANDARI HOOKAH SINGLE    ,10903.199999999997,TOBACCO
42,GOOEY CHOCOLATE FUDGE         ,10698.490000000003,FOOD
57,CHICKEN SALAMI PANINI         ,10665.109999999995,FOOD
30,SNICKER BAR SHAKE             ,10357.759999999998,FOOD
34,COOKIE MONSTER                ,10190.709999999995,FOOD
33,BLACK FOREST SHAKE            ,10190.679999999998,FOOD
35,BAILEYS IRISH SHAKE           ,9801.0,FOOD
235,LEMON INFUSED CHAR GRILLED VEG,9188.639999999996,FOOD
69,VERTIGO                       ,8464.5,FOOD
51,THAT CHOCOLATE THING......... ,8142.75,FOOD
202,CHICKEN SLOUVLAKI WRAP        ,7920.0,FOOD
22,IRISH COFFEE                  ,7889.1900000000005,BEVERAGE
288,SMOKED CHICK & PESTO CREAM CRO,7796.25,FOOD
88,GRAPE FLAVOUR SINGLE          ,7722.0,TOBACCO
9,COOL CALIFORNICA              ,7468.489999999999,BEVERAGE
85,WHITE WINE SHEESHA            ,7425.0,TOBACCO
106,LINDT HOT CHOCOLATE           ,7239.3200000000015,BEVERAGE
52,POUTINE WITH WEDGES           ,7196.15,FOOD
135,MT. BROWNIE                   ,7128.0,FOOD
266,POLLO CON AIOLI               ,5791.5,FOOD
39,HERBED CHICKEN PIE            ,5680.090000000002,FOOD
203,CHOCOLATE FONDUE              ,5615.219999999998,FOOD
114,MEZE PLATTER                  ,5581.32,FOOD
18,CURRANT COOLER                ,5407.770000000001,BEVERAGE
43,ADD FRIES                     ,5370.5700000000015,FOOD
77,STRAWBERRY FLAVOUR SINGLE     ,5346.0,TOBACCO
242,MEDITER RANEAN PANINO         ,5327.54,FOOD
47,STRAWBERRY CHEESECAKE SHAKE   ,5178.860000000002,FOOD
16,TROPICAL SMOOTHIE             ,5172.660000000001,BEVERAGE
108,JAMAICAN BLUE MT (REG)        ,5104.75,BEVERAGE
60,ROCKY ROAD SHAKE              ,5011.810000000002,FOOD
232,ITALIAN CAPONATA PANINO       ,4950.079999999997,FOOD
142,THE GREAT INDIAN WRAP         ,4950.0,FOOD
239,M & M SHAKE                   ,4900.5,BEVERAGE
166,BBQ CHICKEN WINGS             ,4826.360000000001,FOOD
231,ICED LEMON OR STR CAMOMILE    ,4752.0,BEVERAGE
181,APPLE FLAVOUR SINGLE          ,4752.0,TOBACCO
12,STRAWBERRY ICED TEA           ,4733.54,BEVERAGE
59,SPANISH OMELETTE BREAKFAST    ,4665.51,FOOD
38,CAESARS SALAD WRAP            ,4597.32,FOOD
304,TRADITIONAL ITALIAN CRUSTINI  ,4553.92,FOOD
254,NUTELLA CREPES                ,4504.64,FOOD
63,BUN MASKA & CHAI              ,4455.0,FOOD
126,COOKIE CRUMBLE                ,3947.76,BEVERAGE
193,CAJUN CHICKEN CRUSTINI        ,3947.6800000000003,FOOD
109,MAGGI NDLTHAI STYLE           ,3842.44,FOOD
65,KHEEMA GHOTALA                ,3811.59,FOOD
19,BLACK CURRANT ICED TEA        ,3786.84,BEVERAGE
129,MONSOON MALABAR (REG)         ,3762.0,BEVERAGE
163,ASSORTED TAPAS(2 )VEG         ,3743.42,FOOD
68,SEASONAL FRUITPIE (LOWCAL)    ,3638.25,FOOD
75,HOEGAARDEN MUG (1 LITRE)      ,3609.4,LIQUOR
143,OREO COOKIE SHAKE             ,3588.8,FOOD
263,PLAIN JANE (CHOCOLATE)        ,3588.75,MISC
103,MONSOON MALABAR (AULAIT)      ,3588.75,BEVERAGE
268,QUESO CROQUETAS FRITOS        ,3564.0,FOOD
249,MIXED FLAVOUR SINGLE          ,3564.0,TOBACCO
282,ROMA TOMATO & JALAPENO CROQUE ,3557.8700000000003,FOOD
176,HOEGAARDEN (GLS)              ,3543.74,LIQUOR
112,ITALIAN OMELETTE BREAKFAST    ,3539.34,FOOD
286,SHERRIED GARLIC MUSHROOMS CRUS,3415.45,FOOD
2,QUA  MINERAL WATER(500ML)     ,3378.29,BEVERAGE
13,DOPPIO                        ,3267.0,BEVERAGE
287,SHERRIED MUSHROOMS CROQUE     ,3248.4900000000002,FOOD
58,STUFFED MUSHROOM              ,3248.4900000000002,FOOD
64,SCRAMBLED EGGS                ,3174.13,FOOD
281,REDBULL HOOKAH + 2REDBULL     ,3135.0,TOBACCO
21,COLUMBIAN SUPREMO  (REG)      ,3130.8299999999995,BEVERAGE
46,CHEESE CAKE OF THE WEEK       ,3118.55,FOOD
233,JAPANESE YAKITORI WRAP        ,2970.08,FOOD
228,HOTDOG WRAP                   ,2970.08,FOOD
113,HASH BROWN OMELETTE           ,2858.6600000000003,FOOD
162,ASSORTED TAPAS (2)NONVEG      ,2858.6600000000003,FOOD
104,KENYA AA  (REG)               ,2784.42,BEVERAGE
100,GREAT LAKES FLOATS W CHOC           ,2722.6500000000005,BEVERAGE
150,CHAI LATTE                    ,2691.5299999999997,BEVERAGE
98,ESPRESSO                      ,2673.0,BEVERAGE
133,CLASSIC BELGIAN  WAFFLE       ,2611.13,FOOD
195,JAMAICAN BLUE MT (AU LAIT)    ,2518.34,BEVERAGE
208,CREPES MONTE CRISTO           ,2450.28,FOOD
110,CHUNKY CHOCO CHIP COOKIES     ,2450.19,FOOD
90,VLN CAB SAUV (GLS)            ,2425.5,WINES
227,HONEYGLAZED CHICK & MUSTERD CR,2425.5,FOOD
218,GNOCCHI CON POMMODORO         ,2413.1900000000005,FOOD
147,CHERRY FLAVOUR SINGLE         ,2376.0,TOBACCO
66,APPLE PIE SHAKE               ,2338.85,FOOD
261,PHILADELPHIA CREAM CHEESECAKE ,2301.72,FOOD
128,GREAT LAKES FLOAT W VANILLA         ,2287.1200000000003,BEVERAGE
223,GREEK GYROS CRUSTINI          ,2153.28,FOOD
293,STRAWBERRY LITE SHAKE         ,2134.66,BEVERAGE
209,CREPES WITH MUSHROOMS         ,2134.66,FOOD
267,POLLO PELOTA CON TAMATE SALSA ,2116.17,FOOD
26,THANK GOD ITS A SUNDAE        ,2109.91,FOOD
291,SRILANKAN OMELETTE BREAKFAST  ,2091.4400000000005,FOOD
296,SWEET MELON FLAVOUR SINGLE    ,2079.0,FOOD
139,YEMENI GREAT LAKES (AULAIT)         ,2060.46,BEVERAGE
189,BUTTER MILK PAN CAKES         ,1949.0299999999997,FOOD
155,MARRAKESH HOOKAH SINGLE       ,1947.0,TOBACCO
136,JUICE HOOKAH SINGLE           ,1947.0,TOBACCO
241,MAGGI NDL BOLOGNESE           ,1905.75,FOOD
240,MAC N CHEESE                  ,1837.67,FOOD
67,BANANA WALNUT MUFFIN          ,1837.6599999999999,FOOD
252,CH TINS                       ,1797.6000000000001,MERCHANDISE
283,ROSE FLAVORS SINGLE           ,1782.0,MISC
138,APRICOT FLAVOUR SINGLE        ,1782.0,TOBACCO
93,1+1 VLN CAB SAUV CLASIQ (GLS) ,1764.0,WINES
253,MORROCAN SOY KEBABS           ,1701.5900000000001,FOOD
99,BRAZIL BOURBONSANTOS (AULAIT) ,1565.4199999999998,BEVERAGE
32,TIRAMISU                      ,1559.25,FOOD
94,1+1 VLN CHENIN BLANC (GLS)    ,1543.5,WINES
127,COSTARICA TARRAZU (REG)       ,1528.2799999999997,BEVERAGE
157,COLUMBIAN SUPREMO (AULAIT)    ,1503.54,BEVERAGE
225,HONEY & MUSTARD GLAZED CHICKEN,1485.0300000000002,FOOD
160,PEACH FLAVOUR SINGLE          ,1485.0,TOBACCO
169,BLACKENED BALTI CHICKEN CRUSTI,1447.92,FOOD
229,STELLA ARTOIS MUG (1 LTR)     ,1443.76,LIQUOR
168,BLACK FOREST CREPES           ,1435.52,FOOD
217,FRIED MOZZARELLA              ,1392.21,FOOD
262,PLAIN  JANE (STRAWBERRY)      ,1361.25,MISC
53,SUNSHINE SHAKE                ,1336.48,FOOD
258,PESTO CREAM                   ,1330.3400000000001,FOOD
92,1+1 VLN CAB SAUV (GLS)        ,1323.0,WINES
305,UNLIMITED BEER                ,1311.19,LIQUOR
