,items,total_sale,Categories
76,NIRVANA HOOKAH SINGLE         ,267775.20000000007,TOBACCO
73,SAMBUCA                       ,167706.0,TOBACCO
78,CALCUTTA MINT                 ,152448.8,TOBACCO
74,N R G  HOOKAH                 ,132648.0,TOBACCO
75,MINT FLAVOUR SINGLE           ,132165.0,TOBACCO
38,GREAT LAKES SHAKE                   ,60335.90000000001,FOOD
31,JR.CHL AVALANCHE              ,59586.6,FOOD
79,SILVER APPLE SINGLE           ,54331.20000000001,TOBACCO
81,GREEN APPLE FLAVOUR SINGLE    ,50193.0,TOBACCO
33,POUTINE WITH FRIES            ,45278.390000000014,FOOD
260,RED BULL 2+1                  ,45169.43000000001,BEVERAGE
4,CAPPUCCINO                    ,44921.25,BEVERAGE
40,OREO COOKIE SHAKE             ,35529.03999999999,FOOD
85,RED WINE SHEESHA              ,32670.0,TOBACCO
83,THE  CHAMPAGNE SHEESHA        ,30195.0,TOBACCO
35,B.M.T. PANINI                 ,30011.15000000001,FOOD
70,TUBORG                        ,28743.75,LIQUOR
80,MISCHIEF HOOKAH SINGLE        ,27489.00000000001,TOBACCO
67,CARLSBERG                     ,26456.25,LIQUOR
43,PHILLYCREAM CHEESE &CHILLY PAN,26115.430000000008,FOOD
10,LEMON ICED TEA                ,25035.180000000008,BEVERAGE
1,1+1 KF 1/2 LITER              ,22312.360000000004,LIQUOR
55,KIT KAT SHAKE                 ,22219.120000000003,FOOD
82,RABAT HOOKAH SINGLE           ,21806.4,TOBACCO
30,LAVA LAVA                     ,20419.210000000006,FOOD
18,BERRY BLAST                   ,19514.989999999998,BEVERAGE
15,RED BULL ENERGY DRINK         ,18253.42,BEVERAGE
9,COUNTRY LEMONADE              ,18191.780000000006,BEVERAGE
47,SR.CHL AVALANCHE              ,18117.0,FOOD
54,MAGGI NDLCREAM/ CHEE/GARLIC   ,17820.269999999997,FOOD
36,COTTAGE CHEESE PANINI         ,17129.609999999997,FOOD
7,CAFFE LATTE                   ,16607.869999999995,BEVERAGE
77,BLUE BERRY SINGLE             ,16493.4,TOBACCO
58,COUNTRY ROAST CHICKEN PANINI  ,15793.779999999995,FOOD
63,THE FERROR ROCHER SHAKE       ,15592.339999999997,FOOD
42,TOBLERONE SHAKE               ,14190.529999999993,FOOD
69,KF DRAUGHT (1LTR)             ,14174.959999999997,LIQUOR
0,1+1 KF 1 LITER                ,14174.919999999998,LIQUOR
59,GARDEN FRESH PANINI           ,14031.020000000006,FOOD
3,MOROCCAN MINT TEA             ,13866.740000000002,BEVERAGE
51,NON-VEG CLUB WRAP             ,13464.0,FOOD
86,AL SIKANDARI HOOKAH SINGLE    ,13239.599999999999,TOBACCO
128,SATAY CHICKEN PANINI          ,12657.449999999997,FOOD
6,QUA  MINERAL WATER(1000ML)    ,12499.59,BEVERAGE
39,MAGGI NDL ARRABIATA           ,12357.370000000003,FOOD
16,PINK LEMONADE                 ,12195.970000000007,BEVERAGE
65,LINDT CHOCOLATE SHAKE         ,11583.0,FOOD
11,MASALA CHAI CUTTING           ,11038.5,BEVERAGE
245,ORANGE ARRABIATA              ,10110.609999999997,FOOD
90,1+1 WINE GLASS                ,10017.949999999999,WINES
109,KF DRAUGHT PITCHER (2LTR)     ,9950.0,LIQUOR
12,MIAMI MELONS                  ,9467.100000000006,BEVERAGE
229,LEMON INFUSED CHAR GRILLED VEG,9429.96,FOOD
103,THAT CHOCOLATE THING......... ,8835.75,FOOD
26,ULTIMATE HOT CHOCOLATE        ,8792.299999999996,BEVERAGE
191,CHICKEN SLOUVLAKI WRAP        ,8712.0,FOOD
87,GRAPE FLAVOUR SINGLE          ,8613.0,TOBACCO
21,COOL CALIFORNICA              ,8520.390000000003,BEVERAGE
45,SNICKER BAR SHAKE             ,8520.1,FOOD
53,DUTCH TRUFFLE CAKE SHAKE      ,8520.07,FOOD
48,BLACK FOREST SHAKE            ,8510.470000000001,FOOD
37,VEG. CLUB WRAP                ,8439.66,FOOD
102,VERTIGO                       ,8241.75,FOOD
29,THE CHOCO LATTE               ,8241.599999999999,BEVERAGE
32,GOOEY CHOCOLATE FUDGE         ,8204.87,FOOD
190,CHEESE FONDUE                 ,8167.6,FOOD
68,KF DRAUGHT (1/2LTR)           ,8038.980000000001,LIQUOR
158,STRAWBERRY FLAVOUR SINGLE     ,8019.0,TOBACCO
41,MT. BROWNIE                   ,7573.5,FOOD
285,THE AFTER EIGHT SHAKE         ,7350.75,BEVERAGE
177,BLUEBERRY BRAIN FREEZER SHAKE ,7317.000000000001,BEVERAGE
61,BAILEYS IRISH SHAKE           ,7128.0,FOOD
265,RED BULL 3+2                  ,6960.910000000002,BEVERAGE
50,CHICKEN SALAMI PANINI         ,6830.920000000001,FOOD
107,STRAWBERRY CHEESECAKE SHAKE   ,6682.410000000003,FOOD
46,MEZE PLATTER                  ,6670.35,FOOD
163,BEER TANK 3.5 LITRE           ,6300.0,LIQUOR
44,POUTINE WITH WEDGES           ,6156.6399999999985,FOOD
136,LINDT HOT CHOCOLATE           ,5791.460000000003,BEVERAGE
96,IRISH COFFEE                  ,5723.530000000001,BEVERAGE
289,TRADITIONAL ITALIAN CRUSTINI  ,5407.81,FOOD
197,CHOCOLATE FONDUE              ,5228.469999999999,FOOD
99,TROPICAL SMOOTHIE             ,5055.11,BEVERAGE
276,SMOKED CHICK & PESTO CREAM CRO,5020.93,FOOD
105,KHEEMA GHOTALA                ,4900.65,FOOD
106,COOKIE MONSTER                ,4844.750000000002,FOOD
108,SPANISH OMELETTE BREAKFAST    ,4826.380000000001,FOOD
112,APPLE FLAVOUR SINGLE          ,4752.0,TOBACCO
111,MARRAKESH HOOKAH SINGLE       ,4672.799999999999,TOBACCO
227,ITALIAN CAPONATA PANINO       ,4640.699999999998,FOOD
22,STRAWBERRY ICED TEA           ,4628.35,BEVERAGE
244,NUTELLA CREPES                ,4504.6,FOOD
17,CURRANT COOLER                ,4467.290000000001,BEVERAGE
34,ADD FRIES                     ,4331.13,FOOD
233,MEDITER RANEAN PANINO         ,4288.0199999999995,FOOD
94,JAMAICAN BLUE MT (REG)        ,4083.79,BEVERAGE
176,WHITE WINE SHEESHA            ,3960.0,TOBACCO
64,BUN MASKA & CHAI              ,3935.25,FOOD
174,JUICE HOOKAH SINGLE           ,3894.0,TOBACCO
27,BLACK CURRANT ICED TEA        ,3892.03,BEVERAGE
144,MAGGI NDLTHAI STYLE           ,3811.5,FOOD
13,QUA  MINERAL WATER(500ML)     ,3724.7499999999995,BEVERAGE
280,SRILANKAN OMELETTE BREAKFAST  ,3700.2400000000007,FOOD
2,1+1 KF 2 LITER                ,3675.0,LIQUOR
56,CAESARS SALAD WRAP            ,3669.19,FOOD
275,SHERRIED MUSHROOMS CROQUE     ,3557.8700000000003,FOOD
256,POLLO CON AIOLI               ,3551.1800000000003,FOOD
143,HASH BROWN OMELETTE           ,3471.2300000000005,FOOD
20,DOPPIO                        ,3267.0,BEVERAGE
240,MIXED FLAVOUR SINGLE          ,3267.0,TOBACCO
206,CREPES WITH MUSHROOMS         ,3260.77,FOOD
131,CHEESE CAKE OF THE WEEK       ,3241.01,FOOD
8,ESPRESSO                      ,3168.0,BEVERAGE
223,HOTDOG WRAP                   ,3155.6900000000005,FOOD
93,CHAI LATTE                    ,3062.77,BEVERAGE
226,SANGRIA ROSE (CARAFE)         ,3024.0,WINES
196,ORANGE FLAVOUR SINGLE         ,2970.0,TOBACCO
269,ROMA TOMATO & JALAPENO CROQUE ,2939.11,FOOD
19,GREAT LAKES FLOATS W CHOC           ,2908.290000000001,BEVERAGE
282,STRAWBERRY LITE SHAKE         ,2846.2,BEVERAGE
57,THE GREAT INDIAN WRAP         ,2772.0,FOOD
225,ICED LEMON OR STR CAMOMILE    ,2772.0,BEVERAGE
60,SEASONAL FRUITPIE (LOWCAL)    ,2598.75,FOOD
170,BLACKENED BALTI CHICKEN CRUSTI,2574.08,FOOD
127,MONSOON MALABAR (REG)         ,2574.0,BEVERAGE
274,SHERRIED GARLIC MUSHROOMS CRUS,2561.5899999999997,FOOD
133,HOEGAARDEN MUG (1 LITRE)      ,2559.38,LIQUOR
129,ROCKY ROAD SHAKE              ,2505.91,FOOD
66,CLASSIC BELGIAN  WAFFLE       ,2475.0,FOOD
155,SCRAMBLED EGGS                ,2468.77,FOOD
49,BEAN N NACHO CHILLI           ,2431.69,FOOD
222,HONEYGLAZED CHICK & MUSTERD CR,2425.5,FOOD
125,GREAT LAKES FLOAT W VANILLA         ,2413.27,BEVERAGE
142,APPLE PIE SHAKE               ,2338.8399999999997,FOOD
180,BUTTER MILK PAN CAKES         ,2320.2799999999997,FOOD
250,PHILADELPHIA CREAM CHEESECAKE ,2301.72,FOOD
146,HOEGAARDEN (GLS)              ,2296.88,LIQUOR
138,COSTARICA TARRAZU (REG)       ,2233.64,BEVERAGE
212,GNOCCHI CON POMMODORO         ,2227.5600000000004,FOOD
126,MONSOON MALABAR (AULAIT)      ,2227.5,BEVERAGE
230,M & M SHAKE                   ,2227.5,BEVERAGE
132,HERBED CHICKEN PIE            ,2171.79,FOOD
89,1+1 WINE BOTTLE               ,2144.52,WINES
153,ITALIAN OMELETTE BREAKFAST    ,2088.34,FOOD
271,ROSE FLAVORS SINGLE           ,2079.0,MISC
100,COOKIE CRUMBLE                ,2041.9500000000007,BEVERAGE
52,CHUNKY CHOCO CHIP COOKIES     ,2041.8099999999997,FOOD
266,RED SANGRIA (CARAFE) áááááááá ,2016.0,WINES
254,PLAIN JANE (CHOCOLATE)        ,1980.0,MISC
187,CAJUN CHICKEN CRUSTINI        ,1973.8400000000001,FOOD
120,INDIAN PEABERRY (REG)         ,1782.0,BEVERAGE
101,TIRAMISU                      ,1732.5,FOOD
166,BBQ CHICKEN WINGS             ,1732.4899999999998,FOOD
145,THANK GOD ITS A SUNDAE        ,1726.29,FOOD
97,COLUMBIAN SUPREMO  (REG)      ,1707.73,BEVERAGE
264,FLAVOR 1000 GMS               ,1653.75,MERCHANDISE
160,ASSORTED TAPAS (2)NONVEG      ,1633.52,FOOD
24,JAMAICAN BLUE MT (AU LAIT)    ,1602.5800000000002,BEVERAGE
287,THE CHOC FATHER               ,1584.0,FOOD
121,COSTARICA TARAZU (AULAIT)     ,1565.4299999999998,BEVERAGE
258,QUESO CROQUETAS FRITOS        ,1559.25,FOOD
297,WHITE SANGRIA (GLS)áááá áááááá,1543.5,LIQUOR
88,VLN CAB SAUV (GLS)            ,1543.5,WINES
238,MEXICAN CHILLI CON CARNE WRAP ,1485.04,FOOD
228,JAPANESE YAKITORI WRAP        ,1485.04,FOOD
147,CHERRY FLAVOUR SINGLE         ,1485.0,TOBACCO
251,PLAIN  JANE (STRAWBERRY)      ,1477.88,MISC
292,VANILLA LITE SHAKE            ,1423.1,BEVERAGE
288,TOMATOLINO                    ,1392.17,FOOD
92,ADD ON S                      ,1355.0099999999998,MISC
207,CREPES WITH POTATO LAKTES     ,1342.6699999999998,FOOD
167,BEANS NACHO CHILLI W MEAT     ,1299.37,FOOD
268,REDBULL HOOKAH + 2REDBULL     ,1254.0,TOBACCO
204,CREME BRULEE                  ,1237.52,FOOD
232,MAGGI NDL BOLOGNESE           ,1212.75,FOOD
279,SPICED LEMON AND BASIL VELOUTE,1206.55,FOOD
284,SWEET MELON FLAVOUR SINGLE    ,1188.0,FOOD
84,PEACH FLAVOUR SINGLE          ,1188.0,TOBACCO
139,BRAZIL BOURBONSANTOS (REG)    ,1175.62,BEVERAGE
71,CH TINS                       ,1123.5,MERCHANDISE
291,VANILLA ICECREAM              ,1113.8600000000001,FOOD
195,STUFFED MUSHROOM              ,1113.77,FOOD
171,BLUE BERRY MUFFINS            ,1113.7199999999998,FOOD
