,items,total_sale,Categories
82,SAMBUCA                       ,182490.0,TOBACCO
79,NIRVANA HOOKAH SINGLE         ,176899.8,TOBACCO
78,MINT FLAVOUR SINGLE           ,164241.0,TOBACCO
83,N R G  HOOKAH                 ,133650.0,TOBACCO
84,CALCUTTA MINT                 ,78540.0,TOBACCO
41,GREAT LAKES SHAKE                   ,76269.03000000003,FOOD
74,CARLSBERG                     ,60795.0,LIQUOR
33,JR.CHL AVALANCHE              ,57595.2,FOOD
118,KF DRAUGHT (1LTR)             ,53235.0,LIQUOR
86,GREEN APPLE FLAVOUR SINGLE    ,50787.0,TOBACCO
85,SILVER APPLE SINGLE           ,48186.60000000001,TOBACCO
54,POUTINE WITH FRIES            ,43022.40000000001,FOOD
11,RED BULL ENERGY DRINK         ,40219.22,BEVERAGE
4,CAPPUCCINO                    ,38755.91,BEVERAGE
80,RED WINE SHEESHA              ,38115.0,TOBACCO
90,THE  CHAMPAGNE SHEESHA        ,32175.0,TOBACCO
55,OREO COOKIE SHAKE             ,32119.72,FOOD
39,B.M.T. PANINI                 ,31185.58000000001,FOOD
75,TUBORG                        ,28481.25,LIQUOR
7,LEMON ICED TEA                ,26928.58000000001,BEVERAGE
42,KIT KAT SHAKE                 ,26896.78,FOOD
131,KF DRAUGHT (1/2LTR)           ,25921.84,LIQUOR
113,THE FERROR ROCHER SHAKE       ,24904.48,FOOD
24,BERRY BLAST                   ,24805.319999999992,BEVERAGE
60,PHILLYCREAM CHEESE &CHILLY PAN,23259.230000000003,FOOD
8,COUNTRY LEMONADE              ,21563.920000000006,BEVERAGE
38,COUNTRY ROAST CHICKEN PANINI  ,19630.689999999995,FOOD
66,COTTAGE CHEESE PANINI         ,19601.410000000003,FOOD
46,TOBLERONE SHAKE               ,17875.5,FOOD
0,QUA  MINERAL WATER(1000ML)    ,17759.33,BEVERAGE
167,KF DRAUGHT PITCHER (2LTR)     ,17718.86,LIQUOR
9,MIAMI MELONS                  ,17671.880000000005,BEVERAGE
81,RABAT HOOKAH SINGLE           ,17523.000000000004,TOBACCO
115,SR.CHL AVALANCHE              ,17523.0,FOOD
58,LINDT CHOCOLATE SHAKE         ,17052.75,FOOD
14,PINK LEMONADE                 ,16935.58,BEVERAGE
48,NON-VEG CLUB WRAP             ,15828.6,FOOD
59,MAGGI NDLCREAM/ CHEE/GARLIC   ,15221.500000000004,FOOD
10,CAFFE LATTE                   ,14640.23,BEVERAGE
36,GARDEN FRESH PANINI           ,13513.760000000006,FOOD
3,MOROCCAN MINT TEA             ,13198.489999999998,BEVERAGE
56,LAVA LAVA                     ,12994.069999999998,FOOD
92,APPLE FLAVOUR SINGLE          ,12771.0,TOBACCO
37,SATAY CHICKEN PANINI          ,11576.669999999996,FOOD
40,VEG. CLUB WRAP                ,11508.619999999999,FOOD
87,MISCHIEF HOOKAH SINGLE        ,10995.599999999999,TOBACCO
89,BLUE BERRY SINGLE             ,10672.199999999999,TOBACCO
276,REDBULL HOOKAH + 2REDBULL     ,10659.0,TOBACCO
52,MAGGI NDL ARRABIATA           ,10234.290000000003,FOOD
93,WHITE WINE SHEESHA            ,9900.0,TOBACCO
2,MASALA CHAI CUTTING           ,9603.0,BEVERAGE
