,items,total_sale,Categories
69,NIRVANA HOOKAH SINGLE         ,233818.2,TOBACCO
71,SAMBUCA                       ,179718.0,TOBACCO
68,MINT FLAVOUR SINGLE           ,146124.0,TOBACCO
70,CALCUTTA MINT                 ,117810.0,TOBACCO
73,N R G  HOOKAH                 ,77715.0,TOBACCO
27,GREAT LAKES SHAKE                   ,68714.34000000001,FOOD
33,JR.CHL AVALANCHE              ,66318.6,FOOD
67,SILVER APPLE SINGLE           ,52390.8,TOBACCO
74,GREEN APPLE FLAVOUR SINGLE    ,50193.0,TOBACCO
10,CAPPUCCINO                    ,43689.94,BEVERAGE
61,CARLSBERG                     ,40005.0,LIQUOR
45,POUTINE WITH FRIES            ,37645.350000000006,FOOD
80,THE  CHAMPAGNE SHEESHA        ,34650.0,TOBACCO
32,OREO COOKIE SHAKE             ,32837.5,FOOD
64,KF DRAUGHT (1LTR)             ,32445.0,LIQUOR
5,RED BULL ENERGY DRINK         ,32020.680000000008,BEVERAGE
77,RED WINE SHEESHA              ,31185.0,TOBACCO
63,KF DRAUGHT (1/2LTR)           ,27070.24,LIQUOR
3,BERRY BLAST                   ,26921.50999999999,BEVERAGE
25,B.M.T. PANINI                 ,25208.350000000006,FOOD
39,KIT KAT SHAKE                 ,23221.419999999995,FOOD
62,TUBORG                        ,21525.0,LIQUOR
35,PHILLYCREAM CHEESE &CHILLY PAN,20400.540000000005,FOOD
8,LEMON ICED TEA                ,20196.440000000002,BEVERAGE
146,THE FERROR ROCHER SHAKE       ,19923.55,FOOD
102,TOBLERONE SHAKE               ,16204.899999999996,FOOD
56,LAVA LAVA                     ,16149.740000000002,FOOD
54,MAGGI NDLCREAM/ CHEE/GARLIC   ,15964.000000000005,FOOD
13,COUNTRY LEMONADE              ,15883.670000000002,BEVERAGE
4,QUA  MINERAL WATER(1000ML)    ,15558.0,BEVERAGE
2,CAFFE LATTE                   ,15450.84,BEVERAGE
47,GARDEN FRESH PANINI           ,14967.840000000004,FOOD
31,COTTAGE CHEESE PANINI         ,14805.680000000004,FOOD
41,COUNTRY ROAST CHICKEN PANINI  ,14797.539999999995,FOOD
55,SR.CHL AVALANCHE              ,14256.0,FOOD
129,BLUE BERRY SINGLE             ,14229.599999999999,TOBACCO
19,MIAMI MELONS                  ,12833.170000000004,BEVERAGE
17,PINK LEMONADE                 ,12833.170000000004,BEVERAGE
46,MAGGI NDL ARRABIATA           ,12512.060000000003,FOOD
126,KF DRAUGHT PITCHER (2LTR)     ,12403.19,LIQUOR
247,ORANGE ARRABIATA              ,12127.729999999998,FOOD
6,MOROCCAN MINT TEA             ,11973.329999999998,BEVERAGE
267,RED BULL 2+1                  ,11756.419999999996,BEVERAGE
7,ULTIMATE HOT CHOCOLATE        ,11756.099999999999,BEVERAGE
78,AL SIKANDARI HOOKAH SINGLE    ,11681.999999999996,TOBACCO
101,LINDT CHOCOLATE SHAKE         ,11583.0,FOOD
26,VEG. CLUB WRAP                ,11508.64,FOOD
189,CHEESE FONDUE                 ,11426.799999999996,FOOD
76,MISCHIEF HOOKAH SINGLE        ,11318.999999999998,TOBACCO
81,WHITE WINE SHEESHA            ,10890.0,TOBACCO
51,CHICKEN SALAMI PANINI         ,10840.359999999999,FOOD
128,GRAPE FLAVOUR SINGLE          ,10692.0,TOBACCO
106,SATAY CHICKEN PANINI          ,10520.049999999997,FOOD
12,MASALA CHAI CUTTING           ,10444.5,BEVERAGE
79,APPLE FLAVOUR SINGLE          ,10395.0,TOBACCO
121,NON-VEG CLUB WRAP             ,10098.0,FOOD
28,THAT CHOCOLATE THING......... ,10045.18,FOOD
130,RABAT HOOKAH SINGLE           ,9734.999999999998,TOBACCO
59,DUTCH TRUFFLE CAKE SHAKE      ,9522.43,FOOD
34,GOOEY CHOCOLATE FUDGE         ,9411.480000000001,FOOD
14,THE CHOCO LATTE               ,9169.779999999995,BEVERAGE
124,BAILEYS IRISH SHAKE           ,8910.0,FOOD
100,SNICKER BAR SHAKE             ,8520.06,FOOD
232,LEMON INFUSED CHAR GRILLED VEG,7517.97,FOOD
18,COOL CALIFORNICA              ,7258.109999999998,BEVERAGE
283,SMOKED CHICK & PESTO CREAM CRO,7103.25,FOOD
20,TROPICAL SMOOTHIE             ,6936.080000000001,BEVERAGE
24,VERTIGO                       ,6905.25,FOOD
60,BLACK FOREST SHAKE            ,6682.4,FOOD
165,BLUEBERRY BRAIN FREEZER SHAKE ,6670.31,BEVERAGE
160,BBQ CHICKEN WINGS             ,6125.79,FOOD
103,HASH BROWN OMELETTE           ,5717.3099999999995,FOOD
43,ROCKY ROAD SHAKE              ,5680.0599999999995,FOOD
42,MT. BROWNIE                   ,5568.75,FOOD
117,JAMAICAN BLUE MT (REG)        ,5513.129999999999,BEVERAGE
30,MEZE PLATTER                  ,5445.2,FOOD
195,STUFFED MUSHROOM              ,5414.15,FOOD
44,STRAWBERRY CHEESECAKE SHAKE   ,5345.92,FOOD
104,POUTINE WITH WEDGES           ,5253.26,FOOD
300,THE AFTER EIGHT SHAKE         ,4900.5,BEVERAGE
194,CHOCOLATE FONDUE              ,4826.28,FOOD
99,BUN MASKA & CHAI              ,4821.98,FOOD
227,ICED LEMON OR STR CAMOMILE    ,4752.0,BEVERAGE
135,CAESARS SALAD WRAP            ,4739.63,FOOD
98,IRISH COFFEE                  ,4640.69,BEVERAGE
75,STRAWBERRY FLAVOUR SINGLE     ,4455.0,TOBACCO
37,COOKIE MONSTER                ,4176.51,FOOD
243,MIXED FLAVOUR SINGLE          ,4158.0,TOBACCO
157,ASSORTED TAPAS (2)NONVEG      ,4083.76,FOOD
240,MEDITER RANEAN PANINO         ,4028.13,FOOD
193,CHICKEN SLOUVLAKI WRAP        ,3960.0,FOOD
305,UNLIMITED BEER                ,3933.57,LIQUOR
11,CURRANT COOLER                ,3879.5099999999998,BEVERAGE
274,REDBULL HOOKAH + 2REDBULL     ,3762.0,TOBACCO
196,CHICKEN KIBBEH                ,3712.6000000000004,FOOD
221,HOTDOG WRAP                   ,3712.6000000000004,FOOD
246,NUTELLA CREPES                ,3700.2,FOOD
263,POLLO CON AIOLI               ,3564.0,FOOD
304,TRADITIONAL ITALIAN CRUSTINI  ,3557.75,FOOD
108,JUICE HOOKAH SINGLE           ,3504.6,TOBACCO
38,SCRAMBLED EGGS                ,3409.27,FOOD
245,MORROCAN SOY KEBABS           ,3403.1800000000003,FOOD
58,SPANISH OMELETTE BREAKFAST    ,3378.4700000000003,FOOD
97,LINDT HOT CHOCOLATE           ,3378.3399999999997,BEVERAGE
21,QUA  MINERAL WATER(500ML)     ,3248.39,BEVERAGE
122,HERBED CHICKEN PIE            ,3174.1499999999996,FOOD
49,ADD FRIES                     ,3161.74,FOOD
132,STRAWBERRY ICED TEA           ,3155.7000000000003,BEVERAGE
36,KHEEMA GHOTALA                ,3130.9700000000003,FOOD
87,1+1 VLN CHENIN BLANC (GLS)    ,3087.0,WINES
86,1+1 VLN CAB SAUV CLASIQ (GLS) ,3087.0,WINES
9,BLACK CURRANT ICED TEA        ,3050.5099999999998,BEVERAGE
95,DOPPIO                        ,2970.0,BEVERAGE
203,CREPES WITH MUSHROOMS         ,2877.16,FOOD
57,CHEESE CAKE OF THE WEEK       ,2858.67,FOOD
16,GREAT LAKES FLOATS W CHOC           ,2784.5300000000007,BEVERAGE
275,ROMA TOMATO & JALAPENO CROQUE ,2784.42,FOOD
217,GUAVA                         ,2772.0,MISC
52,ITALIAN OMELETTE BREAKFAST    ,2734.96,FOOD
158,ASSORTED TAPAS(2 )VEG         ,2722.49,FOOD
40,CHUNKY CHOCO CHIP COOKIES     ,2654.3799999999997,FOOD
280,SHERRIED MUSHROOMS CROQUE     ,2629.73,FOOD
53,CLASSIC BELGIAN  WAFFLE       ,2574.0,FOOD
183,CAJUN CHICKEN CRUSTINI        ,2512.1600000000003,FOOD
228,ITALIAN CAPONATA PANINO       ,2475.04,FOOD
125,SEASONAL FRUITPIE (LOWCAL)    ,2425.5,FOOD
120,MONSOON MALABAR (REG)         ,2376.0,BEVERAGE
90,4 SEASONS CLAS SAUV(BTL)      ,2268.0,WINES
107,MAGGI NDLTHAI STYLE           ,2252.25,FOOD
202,CREPES MONTE CRISTO           ,2246.09,FOOD
233,M & M SHAKE                   ,2227.5,BEVERAGE
96,COOKIE CRUMBLE                ,2178.0600000000004,BEVERAGE
136,THE GREAT INDIAN WRAP         ,2178.0,FOOD
210,FRIED MOZZARELLA              ,2165.6600000000003,FOOD
230,J.PCHENET SPARKLING ROSE (BTL),2142.0,FOOD
279,SHERRIED GARLIC MUSHROOMS CRUS,2134.6499999999996,FOOD
290,STRAWBERRY LITE SHAKE         ,2134.6499999999996,BEVERAGE
155,GREAT LAKES T-SHIRTS                ,2091.6,MERCHANDISE
131,APRICOT FLAVOUR SINGLE        ,2079.0,TOBACCO
299,SWEET MELON FLAVOUR SINGLE    ,2079.0,FOOD
109,LEMON FLAVOUR SINGLE          ,2079.0,TOBACCO
85,1+1 VLN CAB SAUV CLASIQ (BTL) ,2016.0,WINES
105,SUNSHINE SHAKE                ,2004.73,FOOD
