,items,total_sale,Categories
60,KHEEMA GHOTALA                ,3803.7699999999995,FOOD
149,ASSORTED TAPAS(2 )VEG         ,3723.83,FOOD
13,STRAWBERRY ICED TEA           ,3564.3100000000004,BEVERAGE
55,THE GREAT INDIAN WRAP         ,3564.0,FOOD
158,VLN CAB SAUV (GLS)            ,3528.0,WINES
135,CAESARS SALAD WRAP            ,3495.94,FOOD
121,BLACK CURRANT ICED TEA        ,3471.26,BEVERAGE
22,QUA  MINERAL WATER(500ML)     ,3421.5699999999997,BEVERAGE
268,STRAWBERRY LITE SHAKE         ,3415.44,BEVERAGE
163,HOEGAARDEN MUG (1 LITRE)      ,3412.51,LIQUOR
112,VLN CHENIN BLANC (GLS)        ,3307.5,WINES
148,ASSORTED TAPAS (2)NONVEG      ,3267.04,FOOD
256,ROMA TOMATO & JALAPENO CROQUE ,3248.48,FOOD
275,TRADITIONAL ITALIAN CRUSTINI  ,3130.84,FOOD
90,SANGRIA ROSE (CARAFE)         ,3024.0,WINES
184,VLN CHENIN BLANC (BTL)        ,3024.0,WINES
64,CHEESE CAKE OF THE WEEK       ,2988.61,FOOD
213,HONEYGLAZED CHICK & MUSTERD CR,2945.25,FOOD
144,KENYA AA  (REG)               ,2939.11,BEVERAGE
153,SCRAMBLED EGGS                ,2939.0199999999995,FOOD
150,LINDT HOT CHOCOLATE           ,2895.72,BEVERAGE
166,VLN SAUV BLANC (GLS)          ,2866.5,WINES
50,ROCKY ROAD SHAKE              ,2840.02,FOOD
111,SULA BLUSH ZINFANDEL(GLS)     ,2772.0,WINES
165,JUICE HOOKAH SINGLE           ,2725.8,TOBACCO
66,SEASONAL FRUITPIE (LOWCAL)    ,2598.75,FOOD
105,ITALIAN OMELETTE BREAKFAST    ,2574.08,FOOD
233,NUTELLA CREPES                ,2574.0600000000004,FOOD
240,PHILADELPHIA CREAM CHEESECAKE ,2493.5299999999997,FOOD
195,CREPES MONTE CRISTO           ,2450.28,FOOD
124,HASH BROWN OMELETTE           ,2450.28,FOOD
15,ESPRESSO                      ,2425.5,BEVERAGE
255,RED SANGRIA (GLS)á áááááááááá ,2425.5,WINES
267,SRILANKAN OMELETTE BREAKFAST  ,2413.1900000000005,FOOD
216,ITALIAN CAPONATA PANINO       ,2320.3500000000004,FOOD
221,SULA BLUSH ZINFANDEL (BTL)    ,2268.0,WINES
219,JAPANESE YAKITORI WRAP        ,2227.5600000000004,FOOD
152,SUNSHINE SHAKE                ,2171.7799999999997,FOOD
123,JAMAICAN BLUE MT (REG)        ,2041.9,BEVERAGE
106,BUN MASKA & CHAI              ,2004.75,FOOD
222,M & M SHAKE                   ,2004.75,BEVERAGE
118,COLUMBIAN SUPREMO  (REG)      ,1992.3599999999997,BEVERAGE
20,INDIAN PEABERRY (REG)         ,1980.0,BEVERAGE
128,CLASSIC BELGIAN  WAFFLE       ,1881.0,FOOD
179,CAJUN CHICKEN CRUSTINI        ,1794.4,FOOD
97,BRAZIL BOURBONSANTOS (REG)    ,1763.4199999999998,BEVERAGE
162,BLUE BERRY MUFFINS            ,1763.3999999999999,FOOD
27,MONSOON MALABAR (AULAIT)      ,1732.5,BEVERAGE
126,TIRAMISU                      ,1732.5,FOOD
196,CREPES WITH MUSHROOMS         ,1726.29,FOOD
262,SHERRIED MUSHROOMS CROQUE     ,1701.5900000000001,FOOD
274,TOMATOLINO                    ,1701.53,FOOD
202,GNOCCHI CON POMMODORO         ,1670.67,FOOD
174,BUTTER MILK PAN CAKES         ,1670.58,FOOD
11,COSTARICA TARRAZU (REG)       ,1645.8799999999999,BEVERAGE
96,CHAMOMILE TEA                 ,1633.4699999999998,BEVERAGE
161,BLACKENED BALTI CHICKEN CRUSTI,1608.8000000000002,FOOD
25,GREAT LAKES FLOATS W CHOC           ,1546.9800000000005,BEVERAGE
142,COOKIE CRUMBLE                ,1497.4300000000003,BEVERAGE
29,GREAT LAKES FLOAT W VANILLA         ,1485.0800000000004,BEVERAGE
186,YEMENI GREAT LAKES (REG)            ,1429.3300000000002,BEVERAGE
194,CREME BRULEE                  ,1392.21,FOOD
30,ETHIOPIAN YIRGACHEFFE (REG)   ,1392.21,BEVERAGE
190,COUS COUS WRAP                ,1386.0,FOOD
180,CHAMPINONES CON AJO Y OLIVA   ,1386.0,FOOD
242,PLAIN JANE (CHOCOLATE)        ,1361.25,MISC
249,QUESO CROQUETAS FRITOS        ,1336.5,FOOD
103,HERBED CHICKEN PIE            ,1336.48,FOOD
102,APPLE PIE SHAKE               ,1336.48,FOOD
239,PESTO CREAM                   ,1299.4099999999999,FOOD
231,MEXICAN CHILLI CON CARNE WRAP ,1299.4099999999999,FOOD
238,PESCADO PANINO                ,1287.04,FOOD
218,LATE HARVEST SULA CHENIN (GLS),1260.0,TOBACCO
