,items,total_sale,Categories
82,SAMBUCA                       ,263340.0,TOBACCO
79,NIRVANA HOOKAH SINGLE         ,248694.60000000003,TOBACCO
83,CALCUTTA MINT                 ,125664.0,TOBACCO
80,MINT FLAVOUR SINGLE           ,114048.0,TOBACCO
140,ARABIAN MIST                  ,90090.0,TOBACCO
81,N R G  HOOKAH                 ,88110.0,TOBACCO
31,GREAT LAKES SHAKE                   ,70471.21000000002,FOOD
88,GREEN APPLE FLAVOUR SINGLE    ,68310.0,TOBACCO
34,JR.CHL AVALANCHE              ,59190.6,FOOD
251,RED BULL 2+1                  ,54760.20000000001,BEVERAGE
84,SILVER APPLE SINGLE           ,52390.8,TOBACCO
41,POUTINE WITH FRIES            ,48349.93000000001,FOOD
206,GRENADINE                     ,43890.0,BEVERAGE
13,CAPPUCCINO                    ,43050.75,BEVERAGE
72,CARLSBERG                     ,39375.0,LIQUOR
39,OREO COOKIE SHAKE             ,35529.06,FOOD
74,TUBORG                        ,32015.63,LIQUOR
48,B.M.T. PANINI                 ,31835.230000000003,FOOD
75,KF DRAUGHT (1LTR)             ,31598.350000000006,LIQUOR
33,KIT KAT SHAKE                 ,28535.269999999997,FOOD
90,RABAT HOOKAH SINGLE           ,28036.800000000003,TOBACCO
93,MISCHIEF HOOKAH SINGLE        ,26842.200000000004,TOBACCO
91,THE  CHAMPAGNE SHEESHA        ,26235.0,TOBACCO
3,BERRY BLAST                   ,25510.659999999996,BEVERAGE
0,LEMON ICED TEA                ,24719.570000000007,BEVERAGE
89,RED WINE SHEESHA              ,24255.0,TOBACCO
8,RED BULL ENERGY DRINK         ,23512.870000000006,BEVERAGE
52,THE FERROR ROCHER SHAKE       ,22738.89,FOOD
12,QUA  MINERAL WATER(1000ML)    ,22585.91,BEVERAGE
49,PHILLYCREAM CHEESE &CHILLY PAN,21829.910000000003,FOOD
71,KF DRAUGHT (1/2LTR)           ,21656.239999999998,LIQUOR
32,MAGGI NDLCREAM/ CHEE/GARLIC   ,20790.319999999996,FOOD
87,BLUE BERRY SINGLE             ,19080.600000000006,TOBACCO
4,COUNTRY LEMONADE              ,18829.000000000007,BEVERAGE
55,COTTAGE CHEESE PANINI         ,18581.410000000003,FOOD
11,CAFFE LATTE                   ,17932.109999999993,BEVERAGE
46,SR.CHL AVALANCHE              ,17820.0,FOOD
131,KF DRAUGHT PITCHER (2LTR)     ,17812.5,LIQUOR
7,MIAMI MELONS                  ,16935.530000000002,BEVERAGE
42,COUNTRY ROAST CHICKEN PANINI  ,16207.039999999995,FOOD
2,PINK LEMONADE                 ,16199.240000000005,BEVERAGE
