,items,total_sale,Categories
79,NIRVANA HOOKAH SINGLE         ,206652.60000000003,TOBACCO
76,SAMBUCA                       ,157080.0,TOBACCO
78,MINT FLAVOUR SINGLE           ,152658.0,TOBACCO
74,N R G  HOOKAH                 ,110385.0,TOBACCO
81,CALCUTTA MINT                 ,107646.0,TOBACCO
35,GREAT LAKES SHAKE                   ,79090.61000000002,FOOD
80,GREEN APPLE FLAVOUR SINGLE    ,58212.0,TOBACCO
36,JR.CHL AVALANCHE              ,54236.8,FOOD
111,CARLSBERG                     ,46935.0,LIQUOR
75,SILVER APPLE SINGLE           ,45599.40000000001,TOBACCO
109,KF DRAUGHT (1LTR)             ,43470.0,LIQUOR
57,POUTINE WITH FRIES            ,40695.850000000006,FOOD
262,REDBULL HOOKAH + 2REDBULL     ,38874.0,TOBACCO
117,RED WINE SHEESHA              ,38115.0,TOBACCO
256,RED BULL 2+1                  ,37077.27999999999,BEVERAGE
114,THE  CHAMPAGNE SHEESHA        ,35145.0,TOBACCO
53,OREO COOKIE SHAKE             ,33914.14,FOOD
14,CAPPUCCINO                    ,32150.25,BEVERAGE
54,B.M.T. PANINI                 ,30013.62000000001,FOOD
16,LEMON ICED TEA                ,27875.31000000001,BEVERAGE
42,THE FERROR ROCHER SHAKE       ,22089.18,FOOD
110,TUBORG                        ,21918.75,LIQUOR
45,PHILLYCREAM CHEESE &CHILLY PAN,21809.610000000008,FOOD
12,BERRY BLAST                   ,21748.739999999994,BEVERAGE
10,COUNTRY LEMONADE              ,21563.920000000006,BEVERAGE
47,KIT KAT SHAKE                 ,21216.700000000008,FOOD
24,RED BULL ENERGY DRINK         ,20416.109999999993,BEVERAGE
60,MAGGI NDLCREAM/ CHEE/GARLIC   ,18469.980000000003,FOOD
85,BLUE BERRY SINGLE             ,18110.4,TOBACCO
18,MIAMI MELONS                  ,17669.880000000005,BEVERAGE
43,TOBLERONE SHAKE               ,17204.03,FOOD
21,PINK LEMONADE                 ,17145.97000000001,BEVERAGE
112,KF DRAUGHT (1/2LTR)           ,16898.32,LIQUOR
83,RABAT HOOKAH SINGLE           ,15965.399999999996,TOBACCO
3,QUA  MINERAL WATER(1000ML)    ,15221.140000000003,BEVERAGE
56,COTTAGE CHEESE PANINI         ,14290.900000000005,FOOD
68,COUNTRY ROAST CHICKEN PANINI  ,14088.729999999994,FOOD
40,LAVA LAVA                     ,12772.829999999996,FOOD
77,GRAPE FLAVOUR SINGLE          ,12771.0,TOBACCO
73,SR.CHL AVALANCHE              ,12771.0,FOOD
241,ORANGE ARRABIATA              ,11880.299999999996,FOOD
32,GARDEN FRESH PANINI           ,11849.290000000005,FOOD
260,RED BULL 3+2                  ,11601.510000000002,BEVERAGE
6,CAFFE LATTE                   ,10977.11,BEVERAGE
34,SNICKER BAR SHAKE             ,10691.879999999997,FOOD
108,KF DRAUGHT PITCHER (2LTR)     ,10631.31,LIQUOR
63,LINDT CHOCOLATE SHAKE         ,10617.75,FOOD
1,MOROCCAN MINT TEA             ,10358.3,BEVERAGE
72,DUTCH TRUFFLE CAKE SHAKE      ,10357.789999999995,FOOD
61,NON-VEG CLUB WRAP             ,9930.94,FOOD
38,VERTIGO                       ,9801.0,FOOD
50,MAGGI NDL ARRABIATA           ,9742.500000000004,FOOD
49,CHICKEN SALAMI PANINI         ,9392.489999999994,FOOD
48,SATAY CHICKEN PANINI          ,9272.179999999998,FOOD
5,COOL CALIFORNICA              ,9252.680000000004,BEVERAGE
33,BAILEYS IRISH SHAKE           ,9132.75,FOOD
223,LEMON INFUSED CHAR GRILLED VEG,9095.849999999997,FOOD
279,THE AFTER EIGHT SHAKE         ,8905.73,BEVERAGE
46,VEG. CLUB WRAP                ,8819.579999999998,FOOD
84,AL SIKANDARI HOOKAH SINGLE    ,8566.799999999997,TOBACCO
27,CURRANT COOLER                ,8226.979999999998,BEVERAGE
86,MISCHIEF HOOKAH SINGLE        ,8084.999999999999,TOBACCO
116,WHITE WINE SHEESHA            ,7920.0,TOBACCO
166,BLUEBERRY BRAIN FREEZER SHAKE ,7895.51,BEVERAGE
17,TROPICAL SMOOTHIE             ,7876.58,BEVERAGE
65,MT. BROWNIE                   ,7796.25,FOOD
62,GOOEY CHOCOLATE FUDGE         ,7722.24,FOOD
39,THAT CHOCOLATE THING......... ,7623.0,FOOD
19,MASALA CHAI CUTTING           ,7375.5,BEVERAGE
182,CHEESE FONDUE                 ,7350.83,FOOD
82,APPLE FLAVOUR SINGLE          ,7128.0,TOBACCO
101,POUTINE WITH WEDGES           ,6026.699999999998,FOOD
103,BLACK FOREST SHAKE            ,6014.170000000001,FOOD
71,MEZE PLATTER                  ,5832.330000000001,FOOD
234,MIXED FLAVOUR SINGLE          ,5643.0,TOBACCO
186,CHICKEN SLOUVLAKI WRAP        ,5540.2,FOOD
7,THE CHOCO LATTE               ,5525.330000000002,BEVERAGE
87,JUICE HOOKAH SINGLE           ,5451.5999999999985,TOBACCO
269,SMOKED CHICK & PESTO CREAM CRO,5370.75,FOOD
230,MEDITER RANEAN PANINO         ,5327.54,FOOD
30,STRAWBERRY ICED TEA           ,5259.4800000000005,BEVERAGE
129,SPANISH OMELETTE BREAKFAST    ,4826.39,FOOD
41,COOKIE MONSTER                ,4677.700000000001,FOOD
70,STRAWBERRY CHEESECAKE SHAKE   ,4677.680000000001,FOOD
195,CREPES WITH MUSHROOMS         ,4411.650000000001,FOOD
228,MAISON PIERRE SAUV MARSAN     ,4284.0,WINES
276,SULA SATORI MERLOT (GLS)      ,4189.5,WINES
187,CHOCOLATE FONDUE              ,4021.9,FOOD
252,POLLO CON AIOLI               ,4009.5,FOOD
126,BLACK CURRANT ICED TEA        ,3997.2200000000003,BEVERAGE
59,CAESARS SALAD WRAP            ,3984.75,FOOD
66,HASH BROWN OMELETTE           ,3879.61,FOOD
113,GREAT LAKES T-SHIRTS                ,3834.6,MERCHANDISE
23,ULTIMATE HOT CHOCOLATE        ,3644.3799999999997,BEVERAGE
264,ROMA TOMATO & JALAPENO CROQUE ,3557.8700000000003,FOOD
215,HOTDOG WRAP                   ,3526.95,FOOD
272,STRAWBERRY LITE SHAKE         ,3415.44,BEVERAGE
8,IRISH COFFEE                  ,3403.1800000000003,BEVERAGE
284,TRADITIONAL ITALIAN CRUSTINI  ,3273.16,FOOD
139,APRICOT FLAVOUR SINGLE        ,3267.0,TOBACCO
219,ICED LEMON OR STR CAMOMILE    ,3168.0,BEVERAGE
266,SHERRIED GARLIC MUSHROOMS CRUS,3130.8199999999997,FOOD
227,MAGGI NDL BOLOGNESE           ,3118.5,FOOD
136,MARRAKESH HOOKAH SINGLE       ,3115.2,TOBACCO
240,NUTELLA CREPES                ,3053.59,FOOD
67,SUNSHINE SHAKE                ,3007.0899999999997,FOOD
44,SEASONAL FRUITPIE (LOWCAL)    ,2945.25,FOOD
274,SULA CHENIN BLANC (GLS)       ,2866.5,WINES
249,PLAIN JANE (CHOCOLATE)        ,2846.25,MISC
107,THE GREAT INDIAN WRAP         ,2772.0,FOOD
208,GOSSIPS CHARD AUS (BTL)       ,2756.25,WINES
51,BUN MASKA & CHAI              ,2673.0,FOOD
64,ROCKY ROAD SHAKE              ,2672.97,FOOD
268,SHERRIED MUSHROOMS CROQUE     ,2629.73,FOOD
58,ITALIAN OMELETTE BREAKFAST    ,2598.83,FOOD
131,SCRAMBLED EGGS                ,2586.33,FOOD
105,ADD FRIES                     ,2555.37,FOOD
9,JAMAICAN BLUE MT (REG)        ,2450.28,BEVERAGE
226,M & M SHAKE                   ,2450.25,BEVERAGE
254,QUESO CROQUETAS FRITOS        ,2450.25,FOOD
261,RED SANGRIA (GLS)á áááááááááá ,2425.5,WINES
102,MAGGI NDLTHAI STYLE           ,2425.5,FOOD
98,LINDT HOT CHOCOLATE           ,2413.1,BEVERAGE
152,STRAWBERRY FLAVOUR SINGLE     ,2376.0,TOBACCO
106,HERBED CHICKEN PIE            ,2338.8399999999997,FOOD
258,SULA BLUSH ZINFANDEL (BTL)    ,2268.0,WINES
13,QUA  MINERAL WATER(500ML)     ,2252.2099999999996,BEVERAGE
132,KHEEMA GHOTALA                ,2170.24,FOOD
221,J.PCHENET SPARKLING ROSE (BTL),2142.0,FOOD
118,ORANGE FLAVOUR SINGLE         ,2079.0,TOBACCO
154,ASSORTED TAPAS (2)NONVEG      ,2041.9,FOOD
155,ASSORTED TAPAS(2 )VEG         ,2041.86,FOOD
220,ITALIAN CAPONATA PANINO       ,2008.0000000000002,FOOD
133,SANDASS                       ,1998.0,MERCHANDISE
173,BUTTER MILK PAN CAKES         ,1949.02,FOOD
181,CHAMPINONES CON AJO Y OLIVA   ,1905.75,FOOD
246,PESTO CREAM                   ,1887.23,FOOD
104,CLASSIC BELGIAN  WAFFLE       ,1881.0,FOOD
222,JAPANESE YAKITORI WRAP        ,1856.3000000000002,FOOD
28,ESPRESSO                      ,1831.5,BEVERAGE
29,GREAT LAKES FLOATS W CHOC           ,1794.48,BEVERAGE
179,CAJUN CHICKEN CRUSTINI        ,1794.4,FOOD
278,SWEET MELON FLAVOUR SINGLE    ,1782.0,FOOD
164,BLACKENED BALTI CHICKEN CRUSTI,1769.6800000000003,FOOD
290,WHITE SANGRIA (GLS)áááá áááááá,1764.0,LIQUOR
178,SULA BLUSH ZINFANDEL(GLS)     ,1764.0,WINES
248,PLAIN  JANE (STRAWBERRY)      ,1732.5,MISC
142,THANK GOD ITS A SUNDAE        ,1726.29,FOOD
128,KENYA AA  (REG)               ,1701.5900000000001,BEVERAGE
37,CHEESE CAKE OF THE WEEK       ,1689.2200000000003,FOOD
146,APPLE PIE SHAKE               ,1670.6,FOOD
194,CREPES MONTE CRISTO           ,1633.52,FOOD
123,DOPPIO                        ,1633.5,BEVERAGE
280,THE CHOC FATHER               ,1584.0,FOOD
200,DIA SPARKLING WINE(GLS)       ,1575.0,WINES
97,COLUMBIAN SUPREMO  (REG)      ,1565.4099999999999,BEVERAGE
259,SULA BRUT (BTL)               ,1512.0,WINES
203,GNOCCHI CON POMMODORO         ,1456.07,FOOD
271,SRILANKAN OMELETTE BREAKFAST  ,1447.92,FOOD
145,YEMENI GREAT LAKES (REG)            ,1429.33,BEVERAGE
161,MONSOON MALABAR (REG)         ,1386.0,BEVERAGE
214,HONEYGLAZED CHICK & MUSTERD CR,1386.0,FOOD
192,COUS COUS WRAP                ,1386.0,FOOD
250,PLAIN JANES (VANILLA)         ,1361.25,MISC
55,CHUNKY CHOCO CHIP COOKIES     ,1361.2099999999998,FOOD
292,ZINZI WHITE  (GLS)            ,1323.0,LIQUOR
90,4 SEASONS CLAS SYRAH(GLS)     ,1323.0,WINES
