,items,total_sale,Categories
94,NIRVANA HOOKAH SINGLE         ,268745.4,TOBACCO
98,SAMBUCA                       ,195426.0,TOBACCO
93,CALCUTTA MINT                 ,151074.0,TOBACCO
92,MINT FLAVOUR SINGLE           ,146718.0,TOBACCO
97,N R G  HOOKAH                 ,136620.0,TOBACCO
56,JR.CHL AVALANCHE              ,66714.6,FOOD
39,GREAT LAKES SHAKE                   ,63791.48000000001,FOOD
102,SILVER APPLE SINGLE           ,63386.40000000001,TOBACCO
95,GREEN APPLE FLAVOUR SINGLE    ,62073.0,TOBACCO
50,POUTINE WITH FRIES            ,56331.91,FOOD
6,CAPPUCCINO                    ,50898.380000000005,BEVERAGE
265,RED BULL 2+1                  ,45478.78000000001,BEVERAGE
57,OREO COOKIE SHAKE             ,42344.729999999996,FOOD
86,KF DRAUGHT (1LTR)             ,40949.94999999999,LIQUOR
128,RED WINE SHEESHA              ,39600.0,TOBACCO
87,KF DRAUGHT PITCHER (2LTR)     ,37603.21,LIQUOR
60,B.M.T. PANINI                 ,36643.06000000001,FOOD
101,THE  CHAMPAGNE SHEESHA        ,32670.0,TOBACCO
51,KIT KAT SHAKE                 ,32576.86,FOOD
41,PHILLYCREAM CHEESE &CHILLY PAN,27937.010000000006,FOOD
53,MAGGI NDLCREAM/ CHEE/GARLIC   ,24372.940000000006,FOOD
8,CAFFE LATTE                   ,23773.32,BEVERAGE
68,LAVA LAVA                     ,23389.260000000006,FOOD
104,MISCHIEF HOOKAH SINGLE        ,22314.60000000001,TOBACCO
37,BERRY BLAST                   ,22218.959999999995,BEVERAGE
85,TUBORG                        ,22050.0,LIQUOR
18,RED BULL ENERGY DRINK         ,21811.289999999997,BEVERAGE
25,LEMON ICED TEA                ,21353.54,BEVERAGE
84,CARLSBERG                     ,20947.5,LIQUOR
176,THE FERROR ROCHER SHAKE       ,20356.700000000004,FOOD
129,BLUE BERRY SINGLE             ,19404.000000000007,TOBACCO
76,MAGGI NDL ARRABIATA           ,19206.289999999997,FOOD
21,QUA  MINERAL WATER(1000ML)    ,19058.79,BEVERAGE
55,COTTAGE CHEESE PANINI         ,18833.820000000007,FOOD
45,SR.CHL AVALANCHE              ,18711.0,FOOD
88,KF DRAUGHT (1/2LTR)           ,17882.760000000006,LIQUOR
26,COUNTRY LEMONADE              ,17566.710000000006,BEVERAGE
105,RABAT HOOKAH SINGLE           ,17523.000000000004,TOBACCO
52,COUNTRY ROAST CHICKEN PANINI  ,17219.59,FOOD
67,TOBLERONE SHAKE               ,17207.210000000003,FOOD
15,ULTIMATE HOT CHOCOLATE        ,16928.8,BEVERAGE
139,LINDT CHOCOLATE SHAKE         ,15765.75,FOOD
4,MOROCCAN MINT TEA             ,15704.520000000002,BEVERAGE
0,MASALA CHAI CUTTING           ,14750.15,BEVERAGE
65,SATAY CHICKEN PANINI          ,13946.459999999995,FOOD
19,PINK LEMONADE                 ,13464.310000000001,BEVERAGE
70,GARDEN FRESH PANINI           ,13246.390000000003,FOOD
127,AL SIKANDARI HOOKAH SINGLE    ,12850.199999999999,TOBACCO
32,THE CHOCO LATTE               ,11991.199999999995,BEVERAGE
80,THAT CHOCOLATE THING......... ,11954.25,FOOD
13,MIAMI MELONS                  ,11570.890000000001,BEVERAGE
66,VEG. CLUB WRAP                ,11316.82,FOOD
250,ORANGE ARRABIATA              ,11311.009999999997,FOOD
78,BEAN N NACHO CHILLI           ,11016.359999999999,FOOD
72,SNICKER BAR SHAKE             ,10524.799999999997,FOOD
54,GOOEY CHOCOLATE FUDGE         ,10296.310000000003,FOOD
130,APPLE FLAVOUR SINGLE          ,10098.0,TOBACCO
75,MT. BROWNIE                   ,10023.75,FOOD
288,THE AFTER EIGHT SHAKE         ,10023.75,BEVERAGE
73,NON-VEG CLUB WRAP             ,9900.0,FOOD
198,CHICKEN SLOUVLAKI WRAP        ,9702.0,FOOD
123,DUTCH TRUFFLE CAKE SHAKE      ,9689.5,FOOD
79,POUTINE WITH WEDGES           ,9596.93,FOOD
181,BLUEBERRY BRAIN FREEZER SHAKE ,9526.659999999998,BEVERAGE
29,COOL CALIFORNICA              ,9042.710000000003,BEVERAGE
96,GRAPE FLAVOUR SINGLE          ,8910.0,TOBACCO
281,SMOKED CHICK & PESTO CREAM CRO,8835.75,FOOD
63,CHICKEN SALAMI PANINI         ,8823.249999999998,FOOD
197,CHEESE FONDUE                 ,8167.59,FOOD
142,BLACK FOREST SHAKE            ,8018.890000000002,FOOD
154,BAILEYS IRISH SHAKE           ,7796.25,FOOD
241,MAC N CHEESE                  ,7684.8,FOOD
124,MEZE PLATTER                  ,7487.12,FOOD
268,RED SANGRIA (CARAFE) áááááááá ,7371.0,WINES
203,CHOCOLATE FONDUE              ,7239.419999999999,FOOD
11,LINDT HOT CHOCOLATE           ,7239.34,BEVERAGE
131,STRAWBERRY FLAVOUR SINGLE     ,7128.0,TOBACCO
69,VERTIGO                       ,7128.0,FOOD
145,MARRAKESH HOOKAH SINGLE       ,7009.199999999999,TOBACCO
100,WHITE WINE SHEESHA            ,6930.0,TOBACCO
292,TRADITIONAL ITALIAN CRUSTINI  ,6830.929999999999,FOOD
248,MIXED FLAVOUR SINGLE          ,6527.54,TOBACCO
243,MEDITER RANEAN PANINO         ,6496.989999999999,FOOD
275,SHERRIED GARLIC MUSHROOMS CRUS,6403.989999999999,FOOD
59,COOKIE MONSTER                ,6348.31,FOOD
46,ADD FRIES                     ,5896.6,FOOD
238,LEMON INFUSED CHAR GRILLED VEG,5853.51,FOOD
126,HOEGAARDEN MUG (1 LITRE)      ,5775.04,LIQUOR
27,TROPICAL SMOOTHIE             ,5760.47,BEVERAGE
77,SEASONAL FRUITPIE (LOWCAL)    ,5717.25,FOOD
117,CHAI LATTE                    ,5568.700000000002,BEVERAGE
152,HERBED CHICKEN PIE            ,5345.97,FOOD
171,BANGERS N MASH                ,5345.92,BEVERAGE
28,CURRANT COOLER                ,5172.650000000001,BEVERAGE
233,ICED LEMON OR STR CAMOMILE    ,5148.0,BEVERAGE
110,VLN CAB SAUV (GLS)            ,5071.5,WINES
234,ITALIAN CAPONATA PANINO       ,4950.079999999998,FOOD
12,IRISH COFFEE                  ,4950.079999999997,BEVERAGE
167,VLN CHENIN BLANC (GLS)        ,4851.0,WINES
71,BUN MASKA & CHAI              ,4677.75,FOOD
47,ROCKY ROAD SHAKE              ,4677.690000000001,FOOD
271,ROMA TOMATO & JALAPENO CROQUE ,4638.039999999999,FOOD
44,HASH BROWN OMELETTE           ,4554.049999999999,FOOD
140,SPANISH OMELETTE BREAKFAST    ,4504.63,FOOD
3,BLACK CURRANT ICED TEA        ,4312.789999999999,BEVERAGE
285,STRAWBERRY LITE SHAKE         ,4269.31,BEVERAGE
20,ESPRESSO                      ,4158.0,BEVERAGE
301,VEG FRITTERS                  ,4102.41,FOOD
49,THE GREAT INDIAN WRAP         ,3960.0,FOOD
276,SHERRIED MUSHROOMS CROQUE     ,3867.2500000000005,FOOD
1,QUA  MINERAL WATER(500ML)     ,3854.69,BEVERAGE
273,SAIGON NOODLES                ,3786.84,FOOD
122,SCRAMBLED EGGS                ,3761.9500000000003,FOOD
5,DOPPIO                        ,3638.25,BEVERAGE
48,MAGGI NDLTHAI STYLE           ,3638.25,FOOD
207,SULA BLUSH ZINFANDEL(GLS)     ,3528.0,WINES
228,HOTDOG WRAP                   ,3526.9700000000003,FOOD
155,CAESARS SALAD WRAP            ,3495.94,FOOD
2,STRAWBERRY ICED TEA           ,3471.27,BEVERAGE
148,JAMAICAN BLUE MT (REG)        ,3471.23,BEVERAGE
183,HOEGAARDEN (GLS)              ,3445.34,LIQUOR
235,JAPANESE YAKITORI WRAP        ,3341.34,FOOD
81,STRAWBERRY CHEESECAKE SHAKE   ,3341.2,FOOD
185,BUNUELOS DE CHIRIZO           ,3291.8,FOOD
225,GUAVA                         ,3234.0,MISC
24,MONSOON MALABAR (REG)         ,3069.0,BEVERAGE
40,KHEEMA GHOTALA                ,2987.01,FOOD
195,CEREAL KILLER                 ,2970.0700000000006,FOOD
258,PLAIN JANE (CHOCOLATE)        ,2967.87,MISC
249,NUTELLA CREPES                ,2895.83,FOOD
260,POLLO CON AIOLI               ,2895.75,FOOD
42,THANK GOD ITS A SUNDAE        ,2877.1499999999996,FOOD
17,COOKIE CRUMBLE                ,2858.7300000000005,BEVERAGE
143,JUICE HOOKAH SINGLE           ,2725.8,TOBACCO
62,CLASSIC BELGIAN  WAFFLE       ,2673.0,FOOD
166,ORANGE FLAVOUR SINGLE         ,2673.0,TOBACCO
240,M & M SHAKE                   ,2673.0,BEVERAGE
177,APPLE PIE SHAKE               ,2672.96,FOOD
83,CHEESE CAKE OF THE WEEK       ,2598.8,FOOD
222,GREEK GYROS CRUSTINI          ,2512.1600000000003,FOOD
270,REDBULL HOOKAH + 2REDBULL     ,2508.0,TOBACCO
227,HONEYGLAZED CHICK & MUSTERD CR,2425.5,FOOD
269,RED SANGRIA (GLS)á áááááááááá ,2425.5,WINES
108,VLN SAUV BLANC (GLS)          ,2425.5,WINES
125,ITALIAN OMELETTE BREAKFAST    ,2413.2000000000007,FOOD
283,SRILANKAN OMELETTE BREAKFAST  ,2413.1900000000005,FOOD
111,VLN CAB SAUV CLASIQ (BTL)     ,2394.0,WINES
272,ROSE FLAVORS SINGLE           ,2376.0,MISC
16,GREAT LAKES FLOATS W CHOC           ,2351.370000000001,BEVERAGE
165,MONSOON MALABAR (AULAIT)      ,2351.25,BEVERAGE
158,KENYA AA  (REG)               ,2320.3500000000004,BEVERAGE
213,CREPES WITH MUSHROOMS         ,2301.72,FOOD
256,PHILADELPHIA CREAM CHEESECAKE ,2301.72,FOOD
