,items,total_sale,Categories
77,NIRVANA HOOKAH SINGLE         ,255486.00000000003,TOBACCO
128,ARABIAN MIST                  ,238854.0,TOBACCO
81,SAMBUCA                       ,237006.0,TOBACCO
80,MINT FLAVOUR SINGLE           ,149688.0,TOBACCO
84,CALCUTTA MINT                 ,136752.0,TOBACCO
270,RED BULL 2+1                  ,76107.34999999999,BEVERAGE
37,GREAT LAKES SHAKE                   ,72820.83000000002,FOOD
78,SILVER APPLE SINGLE           ,72118.20000000001,TOBACCO
51,JR.CHL AVALANCHE              ,71257.2,FOOD
228,GRENADINE                     ,66528.0,BEVERAGE
75,KF DRAUGHT PITCHER (2LTR)     ,65625.0,LIQUOR
74,CARLSBERG                     ,65073.78,LIQUOR
39,POUTINE WITH FRIES            ,64617.080000000016,FOOD
85,GREEN APPLE FLAVOUR SINGLE    ,64152.0,TOBACCO
275,RED BULL SHEESHA              ,61182.0,MISC
11,CAPPUCCINO                    ,57766.5,BEVERAGE
71,TUBORG                        ,57651.579999999994,LIQUOR
87,N R G  HOOKAH                 ,54945.0,TOBACCO
45,OREO COOKIE SHAKE             ,47730.98000000001,FOOD
79,RED WINE SHEESHA              ,44946.0,TOBACCO
46,B.M.T. PANINI                 ,40411.33,FOOD
86,THE  CHAMPAGNE SHEESHA        ,38016.0,TOBACCO
3,RED BULL ENERGY DRINK         ,32701.350000000002,BEVERAGE
13,CAFFE LATTE                   ,30555.0,BEVERAGE
48,COTTAGE CHEESE PANINI         ,29748.770000000004,FOOD
69,KF DRAUGHT (1/2LTR)           ,29531.169999999995,LIQUOR
44,PHILLYCREAM CHEESE &CHILLY PAN,27142.480000000003,FOOD
12,LEMON ICED TEA                ,26612.960000000006,BEVERAGE
52,THE FERROR ROCHER SHAKE       ,26420.42,FOOD
7,QUA  MINERAL WATER(1000ML)    ,25985.74,BEVERAGE
57,KIT KAT SHAKE                 ,24214.179999999993,FOOD
89,BLUE BERRY SINGLE             ,23608.200000000004,TOBACCO
73,KF DRAUGHT (1LTR)             ,23329.600000000002,LIQUOR
6,BERRY BLAST                   ,21278.51999999999,BEVERAGE
49,MAGGI NDLCREAM/ CHEE/GARLIC   ,21068.770000000004,FOOD
82,MISCHIEF HOOKAH SINGLE        ,19727.40000000001,TOBACCO
61,LAVA LAVA                     ,19676.7,FOOD
17,MOROCCAN MINT TEA             ,19101.53,BEVERAGE
41,SATAY CHICKEN PANINI          ,18752.290000000005,FOOD
88,RABAT HOOKAH SINGLE           ,18691.2,TOBACCO
33,ULTIMATE HOT CHOCOLATE        ,17986.85,BEVERAGE
104,SR.CHL AVALANCHE              ,17820.0,FOOD
16,MASALA CHAI CUTTING           ,17325.0,BEVERAGE
42,COUNTRY ROAST CHICKEN PANINI  ,16650.379999999997,FOOD
55,MAGGI NDL ARRABIATA           ,16397.130000000005,FOOD
27,COUNTRY LEMONADE              ,16304.410000000002,BEVERAGE
25,THE CHOCO LATTE               ,15518.069999999996,BEVERAGE
134,TOBLERONE SHAKE               ,15035.439999999995,FOOD
94,VLN CAB SAUV (GLS)            ,14773.5,WINES
106,LINDT CHOCOLATE SHAKE         ,14157.0,FOOD
59,NON-VEG CLUB WRAP             ,13848.6,FOOD
8,PINK LEMONADE                 ,13253.940000000006,BEVERAGE
40,GARDEN FRESH PANINI           ,12864.060000000005,FOOD
204,CHICKEN SLOUVLAKI WRAP        ,12078.0,FOOD
118,AL SIKANDARI HOOKAH SINGLE    ,12071.399999999996,TOBACCO
36,MT. BROWNIE                   ,12028.5,FOOD
257,ORANGE ARRABIATA              ,11966.899999999998,FOOD
47,CHICKEN SALAMI PANINI         ,11937.689999999999,FOOD
239,KF DRAFT MUG                  ,11254.74,MISC
65,THAT CHOCOLATE THING......... ,10914.75,FOOD
14,MIAMI MELONS                  ,10834.560000000003,BEVERAGE
53,VEG. CLUB WRAP                ,10549.619999999997,FOOD
198,CHEESE FONDUE                 ,10209.49,FOOD
274,RED BULL 3+2                  ,10209.339999999998,BEVERAGE
240,LEMON INFUSED CHAR GRILLED VEG,10147.719999999998,FOOD
91,GRAPE FLAVOUR SINGLE          ,10098.0,TOBACCO
115,POUTINE WITH WEDGES           ,9596.930000000002,FOOD
64,SNICKER BAR SHAKE             ,9188.339999999998,FOOD
83,WHITE WINE SHEESHA            ,9108.0,TOBACCO
97,LINDT HOT CHOCOLATE           ,8928.5,BEVERAGE
271,BUDWEISER                     ,8629.710000000001,LIQUOR
